"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/home/trendingSlice.ts", "TypeScript", 0, 95, 0, 0, 8, 103
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/post/postSlice.ts", "TypeScript", 0, 154, 0, 26, 14, 194
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/profile/bookmarkSlice.ts", "TypeScript", 0, 105, 0, 0, 6, 111
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/profile/postSlice.ts", "TypeScript", 0, 97, 0, 0, 7, 104
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/profile/profileSlice.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/submit/submitSlice.ts", "TypeScript", 0, 70, 0, 2, 6, 78
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/user/userSlice.ts", "TypeScript", 0, 164, 0, 16, 11, 191
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/usersinglepost/usersinglepostslice.ts", "TypeScript", 0, 280, 0, 1, 9, 290
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/utils.ts", "TypeScript", 0, 49, 0, 0, 4, 53
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/hoc/AppContainer.tsx", "TypeScript JSX", 10, 0, 0, 0, 3, 13
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/hoc/AuthContainer.tsx", "TypeScript JSX", 14, 0, 0, 0, 3, 17
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/hooks/useDocumentTitle.tsx", "TypeScript JSX", 7, 0, 0, 0, 3, 10
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/hooks/useTokenVerify.tsx", "TypeScript JSX", 11, 0, 0, 0, 2, 13
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/index.css", "CSS", 0, 0, 80, 3, 12, 95
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/main.tsx", "TypeScript JSX", 15, 0, 0, 0, 2, 17
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/AddCommunity.tsx", "TypeScript JSX", 78, 0, 0, 0, 6, 84
